Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
131,mkirby,,12,4 - 7 - 0,38.75%,38.25%,Jolteon Inteleon,,mkirby
132,Erik J,,12,4 - 4 - 0drop,36.67%,49.38%,Urshifu Moltres,,azmx157
133,Tangbrandon1997,,12,4 - 7 - 0,33.75%,39.50%,Duraludon,,tangbrandon1997
134,bgv1989,,12,4 - 7 - 0,33.00%,39.08%,Zacian,,bgv1989
135,Brian Peavy,,12,4 - 1 - 0drop,,,Duraludon,,thepeaves
136,Naruto Uzumaki,,12,4 - 2 - 0drop,,,Leafeon Moltres,,chrollo
137,PokeDRUMMER97,,11,3 - 2 - 2drop,60.00%,45.00%,Boltund Inteleon,,pokedrummer97
138,Ontaro29,,10,3 - 3 - 1drop,80.00%,50.00%,Hoopa Moltres,,ontaro29
139,Doubllez,,10,3 - 5 - 1drop,60.00%,39.00%,Mew Genesect,,doubllez
140,Savid400,,9,3 - 4 - 0drop,100.00%,59.00%,Umbreon Urshifu,,savid400
141,snowman,,9,3 - 4 - 0drop,80.00%,50.00%,Urshifu Moltres,,snowman
142,GoRush,,9,3 - 4 - 0drop,80.00%,50.00%,Mew Genesect,,gorush
143,Zach Roy,,9,3 - 4 - 0drop,80.00%,35.00%,Umbreon Urshifu,,senordoom
144,Alex Schemanske,,9,3 - 4 - 0drop,60.00%,44.67%,Mew Genesect,,mewpip
145,James Simms,,9,3 - 4 - 0drop,60.00%,43.00%,Mew Genesect,,4600737
146,ArchmagesTower,,9,3 - 4 - 0drop,60.00%,34.00%,Eternatus,,archmagestower
147,Anthony Bruno,,9,3 - 5 - 0drop,56.67%,43.13%,Glaceon Inteleon,,brillo
148,Anti,,9,3 - 4 - 0drop,50.00%,56.25%,Hoopa Moltres,,anti
149,Kevin C,,9,3 - 8 - 0,44.00%,39.20%,Decidueye Inteleon,,whitekevin
150,Romeo1Bravo,,9,3 - 8 - 0,44.00%,38.75%,Jolteon Inteleon,,romeo1bravo
151,ultraarceus,,9,3 - 4 - 0drop,40.00%,36.67%,Mew Genesect,,ultraarceus
152,Ant4391,,9,3 - 8 - 0,33.00%,40.23%,Duraludon,,ant4391
153,Sanjay7s,,9,3 - 8 - 0,30.00%,39.00%,Vikavolt,,sanjay7s
154,Alonferzu30,,9,3 - 4 - 0drop,25.00%,42.00%,Zacian,,alonferzu30
155,GTlv99,,9,3 - 4 - 0drop,25.00%,32.00%,Charizard,,gtlv99
156,homemadebiscuit,,9,3 - 2 - 0drop,,,Zacian,,homemadebiscuit
157,Freddie C,,9,3 - 2 - 0drop,,,Victini,,xgodson
158,sapocururu,,9,3 - 3 - 0drop,,,Mew Genesect,,sapocururu
159,faris238,,7,2 - 3 - 1,42.78%,45.98%,Urshifu Inteleon,,faris238
160,Bruno Souza,,7,2 - 0 - 1drop,38.33%,47.44%,Rapid Strike Malamar,,bhhenriques
161,Daniel4577,,7,2 - 3 - 1,33.06%,41.39%,Umbreon Urshifu,,daniel4577
162,ShiningHeresy,,7,2 - 3 - 1,27.50%,36.95%,Zacian,,shiningheresy
163,tmez,,6,2 - 3 - 0drop,66.67%,49.06%,Jolteon Inteleon,,tmez
164,pjwitusik,,6,2 - 3 - 0drop,65.00%,51.55%,Umbreon Urshifu,,pjwitusik
165,PatSteven,,6,2 - 2 - 0drop,60.00%,50.72%,Duraludon,,patsteven
166,John Konkle,,6,2 - 4 - 0,58.33%,50.88%,Duraludon,,jk338
167,James Arnold,,6,2 - 3 - 0drop,58.33%,50.54%,Dragapult Inteleon,,wames
168,EmMistaken,,6,2 - 4 - 0,58.33%,48.84%,Other,,emmistaken
169,Manupango,,6,2 - 2 - 0drop,58.33%,48.82%,Rapid Strike Malamar,,manupango
170,Dbotworld,,6,2 - 3 - 0drop,56.67%,49.33%,Duraludon,,dbotworld
171,Keenan V,,6,2 - 2 - 0drop,56.25%,52.50%,Calyrex Inteleon,,octopathwanderer
172,Eduardo Nascimento,,6,2 - 4 - 0,55.56%,50.93%,Umbreon Urshifu,,umcafiota
173,gunplapilot,,6,2 - 4 - 0,54.44%,43.75%,Umbreon Urshifu,,gunplapilot
174,jtap15,,6,2 - 3 - 0drop,54.33%,50.69%,Gengar,,jtap15
175,magicdedenne,,6,2 - 3 - 0drop,53.33%,49.93%,Jolteon Inteleon,,magicdedenne
176,TheRicardoToddy,,6,2 - 1 - 0drop,52.78%,60.38%,Mew Genesect,,thericardotoddy
177,LionFishLover,,6,2 - 4 - 0,52.78%,52.53%,Jolteon Inteleon,,lionfishlover
178,esetrejo,,6,2 - 4 - 0,52.78%,45.25%,Jolteon Inteleon,,esetrejo
179,westsidetommie,,6,2 - 4 - 0,52.50%,45.76%,Urshifu Inteleon,,westsidetommie
180,PapaFlashtoise,,6,2 - 2 - 0drop,52.08%,51.67%,Urshifu Moltres,,papaflashtoise
181,lunareris,,6,2 - 3 - 0drop,51.67%,53.63%,Umbreon Urshifu,,lunareris
182,Cerdas96,,6,2 - 4 - 0,51.67%,49.61%,Dragapult Inteleon,,cerdas96
183,Vina,,6,2 - 4 - 0,50.00%,45.40%,Mew Genesect,,vina
184,Mario Yanez,,6,2 - 4 - 0,48.61%,49.62%,Mew Genesect,,marioyanez
185,Marcos Kuribara,,6,2 - 3 - 0drop,48.33%,49.67%,Other,,mmkgamer
186,Ace702,,6,2 - 3 - 0drop,48.33%,45.83%,Suicune Ludicolo,,ace702
187,Francel,,6,2 - 3 - 0drop,48.33%,42.88%,Duraludon,,francel
188,jbscudd,,6,2 - 4 - 0,47.22%,45.34%,Boltund Flaaffy,,jbscudd
189,APackOfAlpacas,,6,2 - 3 - 0drop,46.67%,49.32%,Umbreon Urshifu,,apackofalpacas
190,Christian Jaramillo,,6,2 - 3 - 0drop,46.67%,45.51%,Duraludon,,setokaiba1308
191,MemeStar,,6,2 - 4 - 0,45.83%,46.50%,Jolteon Inteleon,,memestar
192,Norman Chan,,6,2 - 3 - 0drop,45.00%,51.44%,Urshifu Inteleon,,norm
