Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
133,Ztporlier,,6,2 - 3 - 0drop,46.67%,49.24%,Zacian,,ztporlier
134,jbscudd,,6,2 - 3 - 0drop,46.67%,48.53%,Pikarom,,jbscudd
135,Nelphie,,6,2 - 3 - 0drop,46.67%,48.33%,Corviknight,,nelphie
136,Jesus Cervera,,6,2 - 3 - 0drop,46.67%,47.26%,Shadow Rider Calyrex,,cervera1692
137,nk,,6,2 - 2 - 0drop,45.83%,52.69%,ADP Moltres,,nk
138,超硬 77,,6,2 - 4 - 0,44.44%,50.48%,Dhelmise Rillaboom,,gudihao2020
139,yinse1126,,6,2 - 4 - 0,44.44%,41.45%,Shadow Rider Calyrex,,yinse1126
140,Mew3OP,,6,2 - 3 - 0drop,43.00%,47.53%,Calyrex Inteleon,,mew3op
141,7heMC,,6,2 - 4 - 0,41.67%,48.33%,Eternatus,,7hemc
142,luv2enako,,6,2 - 4 - 0,40.00%,48.33%,Calyrex Inteleon,,luv2enako
143,impaktruenoTKD,,6,2 - 4 - 0,37.50%,45.59%,Calyrex Inteleon,,impaktruenotkd
144,Mikey S,,5,1 - 1 - 2drop,39.17%,44.92%,Decidueye,,yusukep5
145,GadgetBadger,,4,1 - 2 - 1drop,45.83%,41.60%,Orbeetle,,gadgetbadger
146,Dan Perez,,4,1 - 4 - 1,41.67%,44.39%,Urshifu Inteleon,,notoriousd13
147,PickYourPoke,,4,1 - 4 - 1,37.22%,39.01%,Decidueye,,pickyourpoke
148,Luke Tran,,4,1 - 2 - 1drop,35.00%,44.51%,ADP Moltres,,nvshinies
149,Rogioneub,,3,1 - 2 - 0drop,72.22%,49.44%,Other,,rogioneub
150,Frostyplays,,3,1 - 1 - 0drop,66.67%,55.69%,Other,,frostyplays
151,Mikeismyike,,3,1 - 2 - 0drop,63.89%,50.42%,Decidueye,,mikeismyike
152,Anti,,3,1 - 2 - 0drop,61.67%,54.78%,Urshifu Inteleon,,anti
153,yakedo,,3,1 - 2 - 0drop,61.11%,55.00%,Green's Reshizard,,yakedo
154,Luis Ruiz,,3,1 - 2 - 0drop,61.11%,44.64%,Zacian Lucmetal,,luisruiz1112
155,Dspecialist,,3,1 - 2 - 0drop,58.33%,46.46%,Mewtwo Weavile,,dspecialist
156,Takaki S,,3,1 - 3 - 0drop,58.33%,44.17%,Calyrex Inteleon,,takaki
157,ianryave,,3,1 - 2 - 0drop,55.56%,45.37%,Shadow Rider Calyrex,,ianryave
158,snowman,,3,1 - 2 - 0drop,54.44%,47.92%,Mewtwo Weavile,,snowman
159,PUMPKING598,,3,1 - 3 - 0drop,54.17%,44.42%,Bronzong Box,,pumpking598
160,jonnybrah,,3,1 - 2 - 0drop,52.78%,47.13%,Gardevoir,,jonnybrah
161,Shadow,,3,1 - 2 - 0drop,52.78%,43.06%,Calyrex Alcremie,,shadow
162,Ace702,,3,1 - 3 - 0drop,52.08%,48.50%,Calyrex Alcremie,,ace702
