Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
81,Selesn777,,15,5 - 4 - 0,53.67%,52.11%,Gengar,,selesn777
82,Bruno Souza,,15,5 - 2 - 0drop,53.57%,54.37%,Victini,,bhhenriques
83,Tacotocano,,15,5 - 4 - 0,53.52%,48.83%,Gengar,,tacotocano
84,bholkup,,15,5 - 4 - 0,53.40%,53.21%,Duraludon,,bholkup
85,Ethan R,,15,5 - 4 - 0,51.68%,52.05%,Mew Genesect,,pompyroface
86,Diego Gomez,,15,5 - 4 - 0,50.77%,53.59%,Mew Genesect,,darkweb
87,JackDaniel789,,15,5 - 4 - 0,49.86%,52.18%,Gengar,,jackdaniel789
88,Marcos1405,,15,5 - 4 - 0,49.64%,47.85%,Mew Genesect,,marcos1405
89,jtap15,,15,5 - 4 - 0,48.30%,52.29%,Gengar,,jtap15
90,Zarbon,,15,5 - 4 - 0,48.15%,50.19%,Mew Genesect,,zarbon
91,Lío N,,15,5 - 4 - 0,43.51%,51.50%,Mew Genesect,,leonardonav20
92,Dan Perez,,15,5 - 4 - 0,39.60%,46.69%,Mew Genesect,,notoriousd13
93,adrielichu,,13,4 - 4 - 1,49.87%,46.92%,Jolteon Inteleon,,adrielichu
94,Joe Higashi,,13,4 - 4 - 1,48.92%,50.79%,Urshifu Inteleon,,rotaryrocket
95,RingToss,,13,4 - 4 - 1,44.53%,51.17%,Mew Genesect,,ringtoss
96,PUMPKING598,,12,4 - 2 - 0drop,61.57%,55.24%,Calyrex Inteleon,,pumpking598
97,Cameron Kawasaki,,12,4 - 3 - 0drop,60.71%,52.05%,Umbreon Urshifu,,beastes123
98,Akiyama777,,12,4 - 5 - 0,58.91%,49.42%,Umbreon Urshifu,,akiyama777
99,Anti,,12,4 - 3 - 0drop,58.49%,52.64%,Umbreon Urshifu,,anti
100,Aman227,,12,4 - 4 - 0drop,57.43%,53.36%,Mew Genesect,,aman227
101,redpandaPOW,,12,4 - 4 - 0drop,56.60%,50.23%,Leafeon Moltres,,redpandapow
102,coronelzeta,,12,4 - 2 - 0drop,55.95%,53.77%,Gengar,,coronelzeta
103,APackOfAlpacas,,12,4 - 3 - 0drop,55.33%,53.85%,Jolteon Inteleon,,apackofalpacas
104,KR54,,12,4 - 4 - 0drop,54.80%,51.68%,Single Strike Stonjourner,,kr54
105,Xander Pero,,12,4 - 3 - 0drop,53.46%,54.67%,Mew Genesect,,xanderpero
106,James Castaneda,,12,4 - 5 - 0,53.40%,51.53%,Mew Genesect,,memejesus7099
107,Evolution,,12,4 - 4 - 0drop,53.12%,52.80%,Jolteon Inteleon,,evolution
108,MarxistLeninist,,12,4 - 4 - 0drop,52.73%,48.66%,Zacian,,marxistleninist
109,Dynamite,,12,4 - 5 - 0,50.44%,49.08%,Jolteon Inteleon,,dynamite
110,Jade Applegate,,12,4 - 4 - 0drop,49.35%,51.58%,Mew Genesect,,sparklysilvally
111,MauricioSantana,,12,4 - 3 - 0drop,49.32%,53.89%,Urshifu Moltres,,mauriciosantana
112,Alonferzu30,,12,4 - 4 - 0drop,48.86%,48.95%,Mew Genesect,,alonferzu30
113,MagicDedenneYT,,12,4 - 4 - 0drop,48.30%,45.77%,Jolteon Inteleon,,magicdedenneyt
114,berganballer30,,12,4 - 5 - 0,48.07%,49.56%,Mew Genesect,,berganballer30
115,zattack10,,12,4 - 5 - 0,47.16%,45.61%,Mew Genesect,,zattack10
116,Sadp0,,12,4 - 4 - 0drop,47.01%,50.37%,Mew Genesect,,sadp0
117,xANDYx,,12,4 - 4 - 0drop,46.67%,53.10%,Duraludon,,xandyx
118,Xavier E,,12,4 - 4 - 0drop,46.33%,49.14%,Gengar,,xabro
119,AndresJgames,,12,4 - 5 - 0,46.25%,49.84%,Mew Genesect,,andresjgames
