Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
85,sencha,,15,5 - 4 - 0,49.51%,50.03%,Calyrex Inteleon,,kirikisencha
86,PerfectPenguin7,,15,5 - 4 - 0,49.26%,50.98%,Eternatus,,perfectpenguin7
87,AndresJgames,,15,5 - 4 - 0,47.65%,49.92%,Mew Genesect,,andresjgames
88,Wyatt Palguta,,15,5 - 4 - 0,46.89%,52.00%,Entei,,urpalwyatt
89,Enyawed,,15,5 - 4 - 0,46.60%,47.26%,Mew Genesect,,enyawed
90,Victor García,,15,5 - 4 - 0,45.34%,51.43%,Arceus Duraludon,,vicgar08
91,AmaZiinG,,15,5 - 4 - 0,44.91%,51.30%,Jolteon Inteleon,,amaziing
92,Krystian Rivera,,15,5 - 4 - 0,41.82%,42.72%,Gengar,,adrielichu
93,Cody Zimmerman,,15,5 - 4 - 0,41.33%,50.40%,Rapid Strike Malamar,,codyzimm
94,heavenic,,15,5 - 4 - 0,40.19%,46.46%,Mew Genesect,,heavenic
95,Christopher Vaughan,,15,5 - 4 - 0,37.81%,42.31%,Other,,chv3173
96,Wikemeiss,,15,5 - 4 - 0,34.41%,42.97%,Urshifu Inteleon,,wikemeiss
97,sleepydreepy,,13,4 - 4 - 1,57.41%,51.81%,Arceus,,sleepydreepy
98,CLS084449,,13,4 - 4 - 1,55.24%,53.36%,Dark Inteleon,,cls084449
99,Zahir64,,13,4 - 4 - 1,52.16%,48.16%,Torterra,,zahir64
100,Lucas O,,12,4 - 4 - 0drop,63.33%,52.99%,Arceus Duraludon,,aoldale
101,cesarsanchex,,12,4 - 5 - 0,60.93%,50.56%,Gengar Inteleon,,cesarsanchex
102,Christian Stridiron,,12,4 - 2 - 0drop,58.13%,55.51%,Zacian,,ippokg
103,Roughly52,,12,4 - 3 - 0drop,55.92%,52.86%,Dark Arceus,,roughly52
104,Vina,,12,4 - 4 - 0drop,55.21%,52.76%,Arceus Duraludon,,vina
105,CaRif7,,12,4 - 4 - 0drop,54.79%,52.47%,Mew Genesect,,carif7
