Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,PinkOnion1,,40,13 - 3 - 1,,,Goodra LZ Box,,pinkonion1
2,Joe Higashi,,39,13 - 4 - 0,,,Inteleon Urshifu,,rotaryrocket
3,James Simms,,36,11 - 2 - 3,,,Gardevoir Mewtwo,,4600737
4,plooopy,,35,11 - 3 - 2,,,Mew Genesect,,plooopy
5,Ryan Simons,,36,11 - 1 - 3,,,Lost Zone Box,,variedits
6,awwvince,,32,10 - 3 - 2,,,Gardevoir Mewtwo,,awwvince
7,topadeckplz,,31,10 - 4 - 1,,,Lost Zone Box,,topadeckplz
8,Morgan Abreu,,31,10 - 4 - 1,,,Gardevoir,,momaster13
9,Fitypaldis,,31,10 - 3 - 1,43.67%,60.42%,Lugia Archeops,,fitypaldis
10,Ira P,,30,10 - 4 - 0,64.00%,51.73%,Gardevoir,,ira9999
11,Gabriel Padinha,,30,10 - 4 - 0,48.00%,52.75%,Lost Box Charizard,,calkab
12,dinlge8008,,28,9 - 4 - 1,58.67%,50.72%,Lost Zone Box,,dinlge8008
13,Zac C,,28,9 - 4 - 1,50.67%,58.16%,Arceus Duraludon,,globaltrainer71
14,mrmooshoes,,28,9 - 4 - 1,49.33%,51.75%,Lugia Archeops,,mrmooshoes
15,ColinFerguson,,28,9 - 4 - 1,33.67%,57.87%,Lugia Archeops,,colinferguson
16,Nathan Ginsburg,,27,9 - 5 - 0,60.00%,49.72%,Mew Genesect,,ngtcg
17,FruitSmootie,,27,9 - 5 - 0,47.50%,51.86%,Lugia Archeops,,fruitsmootie
18,inosoycarly,,27,9 - 5 - 0,44.00%,51.82%,Goodra LZ Box,,inosoycarly
19,TaxiCabbage,,25,8 - 3 - 1drop,56.67%,43.19%,Lost Zone Box,,taxicabbage
20,Didoyjf,,25,8 - 2 - 1drop,51.67%,62.50%,Mew Genesect,,didoyjf
21,Juan T,,24,8 - 6 - 0,55.00%,42.80%,Giratina LZ Box,,evanbastian
22,PikaPikaCrew,,24,8 - 5 - 0drop,51.11%,42.56%,Lugia Archeops,,pikapikacrew
23,facufacio,,22,7 - 4 - 1drop,55.00%,52.08%,Gardevoir Mewtwo,,facufacio
24,Muutley,,22,7 - 3 - 1drop,52.50%,44.72%,Arceus Giratina,,muutley
25,TyePlaysTcg,,22,7 - 4 - 1drop,48.33%,50.26%,Mew Genesect,,tyeplaystcg
26,HoldMyFeet,,21,7 - 4 - 0drop,47.50%,51.50%,Goodra LZ Box,,holdmyfeet
27,Ian Fukuda,,21,7 - 4 - 0drop,32.50%,42.50%,Gardevoir Mewtwo,,ianfukuda
28,kaiba08,,21,7 - 4 - 0drop,32.50%,40.71%,Gardevoir,,kaiba08
29,Hman,,19,6 - 4 - 1drop,75.00%,47.33%,Gardevoir Mewtwo,,hman
30,CLWNNux,,19,6 - 3 - 1drop,60.00%,50.67%,Shadow Rider Calyrex,,clwnnux
31,nosoness,,19,6 - 4 - 1drop,56.67%,57.50%,Mew Genesect,,nosoness
32,TGaskill16,,19,6 - 3 - 1drop,50.00%,52.50%,Lost Zone Box,,tgaskill16
33,Huffer,,18,6 - 3 - 0,62.96%,53.83%,Miraidon Regieleki,,huffer
34,Trenton S,,18,6 - 3 - 0,61.11%,55.99%,Mew Genesect,,waterman999
35,kkrueger91,,18,6 - 3 - 0,60.93%,53.99%,Gardevoir,,kkrueger91
36,Mahh6,,18,6 - 3 - 0,60.31%,58.09%,Arceus Giratina,,mahh6
37,James Arnold,,18,6 - 3 - 0,59.47%,54.90%,Lost Box Charizard,,wames
38,Bielcosta,,18,6 - 3 - 0,59.28%,55.00%,Lugia Archeops,,bielcosta
39,Greninjaboi,,18,6 - 3 - 0,58.48%,52.90%,Lost Box Charizard,,greninjaboi
40,EvanCampbell94,,18,6 - 3 - 0,57.15%,56.19%,Gardevoir,,evancampbell94
41,MoritzGattaz,,18,6 - 2 - 0drop,57.06%,54.97%,Mew Genesect,,moritzgattaz
42,Jobbermann,,18,6 - 3 - 0,56.82%,51.87%,Miraidon Regieleki,,jobbermann
43,Hayden Matthews,,18,6 - 3 - 0,55.76%,56.82%,Fusion Mew,,hdos39
44,Garrett Brodeur,,18,6 - 3 - 0,55.07%,59.50%,Rapid Strike Urshifu,,garebearcards
45,16RedGunner,,18,6 - 3 - 0,54.50%,56.00%,Lost Zone Box,,16redgunner
46,TheRicardoToddy,,18,6 - 3 - 0,54.01%,54.41%,Gardevoir,,thericardotoddy
47,Katnoaga,,18,6 - 3 - 0,53.91%,53.62%,Mew Genesect,,katnoaga
48,Patrick Scharff,,18,6 - 3 - 0,52.65%,56.54%,Mew Genesect,,pscharff
49,VolcanTurtleTCG,,18,6 - 3 - 0,51.82%,54.80%,Arceus Duraludon,,volcanturtletcg
50,Coal,,18,6 - 3 - 0,46.42%,52.22%,Goodra LZ Box,,coal
51,SeamooseA,,18,6 - 3 - 0,43.67%,55.73%,Arceus Regidrago,,seamoosea
52,Vikoto,,18,6 - 3 - 0,41.36%,50.23%,Miraidon Regieleki,,vikoto
53,Bossman2,,16,5 - 2 - 1drop,69.10%,59.23%,Lost Zone Box,,bossman2
54,KpeTic,,16,5 - 3 - 1,64.04%,54.59%,Lugia Archeops,,kpetic
55,Carlosvieira,,16,5 - 3 - 1,52.85%,54.48%,Goodra LZ Box,,carlosvieira
56,LuisPedroFE,,16,5 - 3 - 1,52.54%,55.87%,Lost Box Charizard,,luispedrofe
57,VXNOM01,,15,5 - 4 - 0,67.28%,52.33%,Goodra LZ Box,,vxnom01
58,GAP Bruno Souza,,15,5 - 3 - 0drop,64.12%,56.80%,Arceus Giratina,,bhhenriques
59,KarinNon,,15,5 - 3 - 0drop,60.81%,56.39%,Goodra LZ Box,,karinnon
60,newton0428,,15,5 - 3 - 0drop,60.59%,57.92%,Gardevoir,,newton0428
61,CitingSnake,,15,5 - 4 - 0,59.56%,50.19%,Mew Genesect,,citingsnake
62,Diazluie,,15,5 - 4 - 0,58.17%,53.48%,Miraidon Regieleki,,diazluie
63,Uapha,,15,5 - 3 - 0drop,57.09%,56.37%,Lost Zone Box,,uapha
64,. medi,,15,5 - 3 - 0drop,56.30%,55.80%,Lugia Archeops,,owohunt
65,Cyrus Davis,,15,5 - 4 - 0,56.22%,55.29%,Gardevoir,,cyrusnwo
66,butadbut,,15,5 - 4 - 0,56.19%,50.19%,Arceus Duraludon,,butadbut
67,GODDO7,,15,5 - 3 - 0drop,56.10%,51.20%,Giratina LZ Box,,goddo7
68,Chrisandwich,,15,5 - 4 - 0,55.56%,53.18%,Lugia Archeops,,chrisandwich
69,Gabe Shumway,,15,5 - 3 - 0drop,55.18%,55.46%,Mew Genesect,,gabeshumway
70,maguimaster,,15,5 - 4 - 0,55.11%,52.10%,Arceus Duraludon,,maguimaster
71,marcogarcia,,15,5 - 4 - 0,54.50%,56.19%,Goodra LZ Box,,marcogarcia
72,Júnio Fernandes,,15,5 - 3 - 0drop,54.33%,54.37%,Inteleon Urshifu,,juniogof
73,Ryan Biggs,,15,5 - 4 - 0,52.04%,48.77%,Lost Zone Box,,biggsbelike
74,FrankiTechGeek,,15,5 - 4 - 0,50.61%,50.33%,Lugia Archeops,,frankitechgeek
75,lenincg,,15,5 - 4 - 0,50.42%,48.67%,Arceus Duraludon,,lenincg
76,Tyler Crouthamel,,15,5 - 4 - 0,49.87%,50.75%,Lost Box Charizard,,tcrouty98
77,Rory Sharpe,,15,5 - 3 - 0drop,48.96%,56.63%,Lost Zone Box,,stazzy69
78,Lorenzo Gomez,,15,5 - 4 - 0,48.27%,49.79%,Lost Zone Box,,sailence
79,Nelson Guillen,,15,5 - 4 - 0,47.51%,52.64%,Lugia Archeops,,moxyroxie
80,Corey Blankenship,,15,5 - 4 - 0,45.83%,49.67%,Lugia Archeops,,coreyology
81,daycamp,,15,5 - 4 - 0,44.57%,47.90%,Lost Zone Box,,daycamp
82,Keller H,,15,5 - 4 - 0,44.38%,52.59%,Lost Zone Box,,22lava44
83,Mark Marullo,,15,5 - 4 - 0,43.83%,51.26%,Mew Genesect,,markofino
84,MaxEvil95,,15,5 - 4 - 0,43.52%,53.90%,Mew Genesect,,maxevil95
85,Cobi Kawasaki,,15,5 - 4 - 0,43.50%,50.84%,Giratina LZ Box,,97kirby
86,Omar T,,15,5 - 4 - 0,38.04%,50.98%,Gardevoir,,ccot
87,Zakwani Clay,,13,4 - 3 - 1drop,57.64%,52.39%,Mew Genesect,,dynamitehorse
88,Evolution,,13,4 - 4 - 1,48.57%,50.63%,Gardevoir Mewtwo,,evolution
89,Wsnedaker,,12,4 - 3 - 0drop,66.67%,55.48%,Lugia Archeops,,wsnedaker
90,Jordan B,,12,4 - 3 - 0drop,62.70%,55.35%,Goodra LZ Box,,xvjordie
91,hgibbon13,,12,4 - 5 - 0,62.32%,53.06%,Lost Zone Box,,hgibbon13
92,realmccoyWVU,,12,4 - 3 - 0drop,59.05%,54.79%,Gardevoir,,realmccoywvu
93,mecaga,,12,4 - 3 - 0drop,58.13%,55.90%,Fusion Mew,,mecaga
94,fortenat,,12,4 - 4 - 0drop,56.05%,51.03%,Gardevoir,,fortenat
95,Zach Forjette,,12,4 - 3 - 0drop,55.56%,54.78%,Goodra LZ Box,,zachforjette
96,Alexmon,,12,4 - 5 - 0,54.32%,49.72%,Mew Genesect,,alexmon
97,cactusgreenlightpole,,12,4 - 2 - 0drop,54.17%,59.00%,Lost Zone Box,,ascotpokes
98,TcgTom,,12,4 - 4 - 0drop,54.13%,52.62%,Miraidon Regieleki,,tcgtom
99,RiotTown,,12,4 - 4 - 0drop,53.13%,52.76%,Lugia Archeops,,riottown
100,owntempo,,12,4 - 3 - 0drop,51.51%,47.11%,Miraidon Flaaffy,,owntempo
101,Avalanche,,12,4 - 5 - 0,50.93%,51.47%,Other,,avalanche
102,Luna Y,,12,4 - 2 - 0drop,50.46%,57.08%,Calyrex Palkia,,pikachu369248
103,andrewdias,,12,4 - 3 - 0drop,49.83%,57.36%,Gardevoir,,andrewdias
104,ChronoZero,,12,4 - 3 - 0drop,47.99%,56.82%,Goodra LZ Box,,chronozero
105,melfo,,12,4 - 5 - 0,47.66%,52.13%,Gardevoir,,melfo
106,Jawn,,12,4 - 5 - 0,47.53%,51.42%,Miraidon Regieleki,,jawn
107,Blackstar777,,12,4 - 5 - 0,47.40%,52.10%,Inteleon Urshifu,,blackstar777
108,Lapsy,,12,4 - 3 - 0drop,47.02%,56.13%,Mew Genesect,,lapsy
109,Paul Margold,,12,4 - 3 - 0drop,46.98%,54.78%,Mew Genesect,,pmplays1089
110,PianoFish,,12,4 - 5 - 0,46.30%,48.04%,Goodra LZ Box,,pianofish
111,Kashvinder Singh Mann,,12,4 - 4 - 0drop,45.97%,50.57%,Lost Box Charizard,,kashmann27
112,Matt Vandersluys,,12,4 - 3 - 0drop,45.86%,52.61%,Arceus Duraludon,,cxndr
113,A K,,12,4 - 4 - 0drop,44.83%,45.62%,Mew Genesect,,ajkerkman
114,CrystalPepsiii,,12,4 - 5 - 0,43.28%,47.28%,Goodra LZ Box,,crystalpepsiii
115,Jacob Weber,,12,4 - 3 - 0drop,40.87%,50.93%,Arceus Duraludon,,jwebz
116,Elgranboti,,12,4 - 5 - 0,39.76%,43.05%,Gardevoir,,elgranboti
117,Vicente Canales-Loyola (MoeHawk),,12,4 - 5 - 0,39.66%,44.28%,Giratina LZ Box,,moehawk
118,Arkenspire,,12,4 - 5 - 0,38.58%,45.86%,Miraidon Regieleki,,arkenspire
119,Kara Thea,,12,4 - 0 - 0drop,35.76%,59.57%,Gardevoir,,undauntedhound
120,carefuldanger,,12,4 - 3 - 0drop,35.52%,48.82%,Gardevoir Mewtwo,,carefuldanger
121,APackOfAlpacas,,9,3 - 3 - 0drop,61.88%,52.05%,Lost Zone Box,,apackofalpacas
122,Dr.Stone From Doctor Stone,,9,3 - 3 - 0drop,61.11%,52.24%,Lost Zone Box,,noahs
123,Xann101,,9,3 - 3 - 0drop,60.15%,52.48%,Mew Genesect,,xann101
124,Ethan Colborn,,9,3 - 2 - 0drop,58.89%,52.07%,Inteleon Urshifu,,godmaster
125,YingLa,,9,3 - 2 - 0drop,58.33%,54.28%,Goodra LZ Box,,no22159550
