Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
84,Joe Tee,,0,0 - 2 - 0drop,55.00%,50.89%,Blissey,,joe
85,Jeremy Cooley,,0,0 - 2 - 0drop,53.57%,54.80%,Regis,,jcools
86,Joao Antunes,,0,0 - 2 - 0drop,51.79%,55.56%,Duraludon,,ninjj4
87,Elijah C,,0,0 - 3 - 0drop,50.00%,45.50%,Inteleon Box,,e1ijah
88,ToFGonzalo,,0,0 - 1 - 0drop,50.00%,26.79%,Mew Genesect,,tofgonzalo
89,Kimmy S,,0,0 - 2 - 0drop,48.57%,52.71%,Arceus Inteleon,,jasonleonard
90,MoshiYBM,,0,0 - 2 - 0drop,46.43%,54.45%,Dialga,,moshiybm
91,Jcontla,,0,0 - 2 - 0drop,41.67%,48.98%,Urshifu Inteleon,,jcontla
92,Jpizzy41,,0,0 - 2 - 0drop,37.50%,50.24%,Arceus Tapu Koko,,jpizzy41
93,PokeZero,,0,0 - 1 - 0drop,33.33%,41.67%,Dracozolt,,pokezero
94,homemadebiscuit,,0,0 - 2 - 0drop,29.17%,55.03%,Samurott Weezing,,homemadebiscuit
95,Sconniebass,,0,0 - 2 - 0drop,26.79%,49.21%,Lunatone Solrock,,sconniebass
