Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
219,robunzatsu,,3,1 - 2 - 0drop,52.22%,46.57%,Dragapult Inteleon,,robunzatsu
220,Ryota S,,3,1 - 3 - 0drop,52.08%,48.73%,Urshifu Inteleon,,mawssa2000
221,SiFrWiNg,,3,1 - 2 - 0drop,50.00%,51.39%,Calyrex Inteleon,,sifrwing
222,Hollerman,,3,1 - 2 - 0drop,49.44%,50.95%,Suicune Ludicolo,,hollerman
223,Joshua Sutherland,,3,1 - 3 - 0drop,49.17%,40.76%,Zacian,,joshuasutherland21
224,Tukaon321,,3,1 - 4 - 0drop,48.33%,46.78%,Mew Genesect,,tukaon321
225,DomenicoBagas09,,3,1 - 3 - 0drop,47.92%,49.44%,Obstagoon Inteleon,,domenicobagas09
226,abewiththebabes,,3,1 - 3 - 0drop,47.92%,47.14%,Calyrex Inteleon,,abewiththebabes
227,Alonferzu30,,3,1 - 3 - 0drop,47.92%,46.98%,Calyrex Inteleon,,alonferzu30
228,roshisan15,,3,1 - 3 - 0drop,47.92%,44.08%,Suicune Ludicolo,,roshisan15
229,Savid400,,3,1 - 2 - 0drop,47.22%,51.79%,Urshifu Inteleon,,savid400
230,homemadebiscuit,,3,1 - 2 - 0drop,47.22%,48.22%,Alcremie,,homemadebiscuit
231,Jonathan Patricio Ch.,,3,1 - 5 - 0,47.22%,44.12%,Sylveon,,jonah2705
232,JeezyACG,,3,1 - 3 - 0drop,45.42%,50.75%,Mew Genesect,,jeezyacg
233,Garry Breech,,3,1 - 5 - 0,44.44%,47.58%,Urshifu Inteleon,,garebear2006
234,Clair B,,3,1 - 2 - 0drop,43.89%,53.72%,Other,,bunkbun
235,Jason Calderon,,3,1 - 3 - 0drop,43.75%,44.37%,Calyrex Inteleon,,pipps
236,Fehér Viktor,,3,1 - 3 - 0drop,43.75%,41.59%,Other,,vyndra
237,Dan Irish,,3,1 - 1 - 0drop,41.67%,53.57%,Zacian,,danirish1
238,Aman227,,3,1 - 2 - 0drop,41.67%,51.67%,Mew Genesect,,aman227
239,Norman Chan,,3,1 - 2 - 0drop,41.67%,49.33%,Suicune Ludicolo,,norm
240,CranidosKing147,,3,1 - 2 - 0drop,41.67%,44.70%,Calyrex Inteleon,,cranidosking147
241,Romeo1Bravo,,3,1 - 3 - 0drop,41.25%,42.83%,Inteleon Inteleon,,romeo1bravo
242,Mario Yanez,,3,1 - 2 - 0drop,41.11%,47.11%,Mew Genesect,,marioyanez
243,Bulldoza915,,3,1 - 5 - 0,40.28%,40.47%,Calyrex Inteleon,,bulldoza915
244,PerfectPenguin7,,3,1 - 5 - 0,40.00%,45.93%,Dragapult Inteleon,,perfectpenguin7
245,OliveiraRodr,,3,1 - 5 - 0,40.00%,41.56%,Sylveon,,oliveirarodr
246,captainchikenmaster,,3,1 - 3 - 0drop,38.75%,42.89%,Umbreon Urshifu,,captainchikenmaster
247,Zanol,,3,1 - 3 - 0drop,37.08%,43.77%,Galarian Weezing,,zanol
248,GUH Pablo,,3,1 - 5 - 0,35.00%,44.43%,Zacian,,drtastebad
249,PokeYonko,,3,1 - 3 - 0drop,30.83%,51.25%,Umbreon Urshifu,,pokeyonko
250,Rjg,,3,1 - 0 - 0drop,25.00%,55.56%,Hydreigon Box,,rjg
251,MarxistLeninist,,2,0 - 2 - 2drop,45.83%,46.59%,Zacian,,marxistleninist
252,OMGtapulele,,1,0 - 3 - 1drop,52.08%,44.24%,Gengar Umbreon,,omgtapulele
253,Timothy Madison,,1,0 - 1 - 1drop,50.00%,37.50%,Jolteon Inteleon,,linoleumcrab
254,acarpenter567,,1,0 - 5 - 1,35.83%,44.90%,Dracozolt,,acarpenter567
255,JorgeR,,1,0 - 1 - 1drop,29.17%,32.29%,Suicune Ludicolo,,jorger
