Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
77,JorgeR,,12,4 - 5 - 0drop,65.00%,42.83%,Umbreon Urshifu,,jorger
78,saitama,,12,4 - 3 - 0drop,63.33%,36.04%,Umbreon Urshifu,,saitama
79,pedromon,,12,4 - 3 - 0drop,60.00%,50.50%,Shadow Rider Calyrex,,pedromon
80,tmez,,12,4 - 3 - 0drop,60.00%,49.33%,Suicune Ludicolo,,tmez
81,heyimtazz,,12,4 - 4 - 0drop,55.56%,46.41%,Zacian,,heyimtazz
82,Urtzuub,,12,4 - 3 - 0drop,52.50%,50.83%,Duraludon,,urtzuub
83,ozzycarapia4,,12,4 - 4 - 0drop,50.56%,36.03%,Victini,,ozzycarapia4
84,Azerea97,,12,4 - 2 - 0drop,50.00%,56.25%,Urshifu Moltres,,azerea97
85,Julius Chapman,,12,4 - 4 - 0drop,48.33%,48.94%,Mew Genesect,,huliusdablack
86,Matt Bridges,,12,4 - 4 - 0drop,48.33%,45.89%,Suicune Ludicolo,,bluebr0nc0
87,Vini Fernandez,,12,4 - 3 - 0drop,46.67%,50.00%,Mew Genesect,,warexpert
88,Darceloix,,12,4 - 6 - 0,46.00%,46.67%,Umbreon Urshifu,,darceloix
89,rad144,,12,4 - 4 - 0drop,45.00%,47.00%,Suicune Ludicolo,,rad144
90,adrielichu,,12,4 - 6 - 0,43.75%,42.89%,Suicune Ludicolo,,adrielichu
91,dzt3,,12,4 - 4 - 0drop,43.33%,46.81%,Zacian,,dzt3
92,Henrique Gonçalves,,12,4 - 3 - 0drop,42.50%,49.72%,Zacian,,gatanashg
93,ChillTCG,,12,4 - 2 - 0drop,40.00%,63.00%,Mew Genesect,,chilltcg
94,Timm101,,12,4 - 3 - 0drop,37.50%,52.00%,Victini,,timm101
95,Legendaray,,12,4 - 3 - 0drop,32.50%,47.50%,Umbreon Urshifu,,legendaray
96,abewiththebabes,,10,3 - 3 - 1drop,80.00%,44.00%,Suicune Ludicolo,,abewiththebabes
97,zattack10,,10,3 - 3 - 1drop,70.83%,38.33%,Inteleon Inteleon,,zattack10
98,Alec Geissler,,10,3 - 2 - 1drop,60.00%,47.67%,Umbreon Urshifu,,geissleralec
99,topherton,,10,3 - 4 - 1drop,60.00%,44.00%,Inteleon Inteleon,,topherton
100,RecurringAwesome,,10,3 - 3 - 1drop,52.50%,47.50%,Zacian,,recurringawesome
101,Luis046w3,,10,3 - 6 - 1,44.67%,41.16%,Sylveon,,luis046w3
102,Railton,,10,3 - 2 - 1drop,40.00%,57.00%,Zacian,,railton
103,Jhill,,9,3 - 3 - 0drop,80.00%,53.00%,Victini,,jhill
104,Koichi Kimura,,9,3 - 3 - 0drop,80.00%,47.00%,Mew Genesect,,symphogear119
105,Joshua Bell,,9,3 - 3 - 0drop,80.00%,38.00%,Inteleon Inteleon,,joshuaxbell23
106,meirelles7,,9,3 - 4 - 0drop,70.00%,50.50%,Mew Genesect,,meirelles7
107,Travisbrooks87,,9,3 - 3 - 0drop,66.67%,33.33%,Dragapult Inteleon,,travisbrooks87
108,robunzatsu,,9,3 - 3 - 0drop,60.00%,49.67%,Dragapult Inteleon,,robunzatsu
109,Owen Johnson,,9,3 - 3 - 0drop,60.00%,46.00%,Urshifu Inteleon,,osj14
110,Anti,,9,3 - 3 - 0drop,50.00%,52.50%,Umbreon Urshifu,,anti
111,Axel Godoy,,9,3 - 3 - 0drop,50.00%,52.50%,Umbreon Urshifu,,raxelgt
112,Xavier E,,9,3 - 4 - 0drop,50.00%,50.67%,Mew Genesect,,xabro
113,allezliverpool69,,9,3 - 3 - 0drop,50.00%,47.08%,Umbreon Urshifu,,allezliverpool69
114,Ui Shigure,,9,3 - 3 - 0drop,50.00%,42.50%,Rayquaza,,edgevnv
115,evltrtl,,9,3 - 3 - 0drop,50.00%,37.50%,Dracozolt,,evltrtl
116,Mattgoldfish,,9,3 - 7 - 0,44.67%,42.17%,Dragapult Inteleon,,mattgoldfish
117,LionFishLover,,9,3 - 3 - 0drop,40.00%,43.67%,Umbreon Urshifu,,lionfishlover
118,chrischop94,,9,3 - 3 - 0drop,40.00%,42.00%,Suicune Ludicolo,,chrischop94
119,Michael Ginchereau,,9,3 - 7 - 0,39.00%,42.29%,Victini,,ginch
120,MintMermaid,,9,3 - 3 - 0drop,33.33%,68.33%,Gengar Umbreon,,mintmermaid
121,VictorCoutinho,,9,3 - 3 - 0drop,33.33%,48.33%,Other,,victorcoutinho
122,Vincent D'Arcy,,9,3 - 3 - 0drop,33.33%,45.00%,Urshifu Moltres,,gassy165
123,Darsh S,,9,3 - 7 - 0,32.67%,42.32%,Umbreon Urshifu,,darshs1008
124,Chris Mack,,9,3 - 3 - 0drop,25.00%,46.00%,Inteleon Inteleon,,omagic1313
125,Birdexe,,7,2 - 3 - 1drop,80.00%,43.67%,Sylveon,,birdexe
126,Lautaro Capece,,7,2 - 3 - 1drop,75.00%,35.83%,Duraludon,,lautikpc95
127,pjwitusik,,6,2 - 3 - 0,64.00%,47.40%,Mew Genesect,,pjwitusik
128,LadyDunsparce,,6,2 - 3 - 0,64.00%,47.20%,Dragapult Inteleon,,ladydunsparce
129,Akiyama777,,6,2 - 3 - 0,62.67%,44.49%,Urshifu Blaziken,,akiyama777
130,CardSwagg,,6,2 - 3 - 0,58.00%,44.10%,Mew Genesect,,cardswagg
131,MELTZakamudkip,,6,2 - 3 - 0,57.00%,51.67%,Umbreon Urshifu,,meltzakamudkip
132,Chomper2204,,6,2 - 3 - 0,57.00%,50.83%,Eternatus,,chomper2204
133,Tate Whitesell,,6,2 - 3 - 0,57.00%,46.96%,Togekiss Inteleon,,leukocyte
134,Izmir Armani,,6,2 - 3 - 0,57.00%,46.39%,Gengar Umbreon,,izmirarmani
