deck,opposing_deck,date,winrate,games_played
Suicune Ludicolo,Suicune Ludicolo,2021-10-11,0.43,14
Suicune Ludicolo,Jolteon Inteleon,2021-10-11,0.14,7
Suicune Ludicolo,Zeraora Inteleon,2021-10-11,0.0,2
Suicune Ludicolo,Umbreon Urshifu,2021-10-11,0.58,12
Suicune Ludicolo,Urshifu Moltres,2021-10-11,1.0,1
Suicune Ludicolo,Zacian,2021-10-11,0.75,4
Suicune Ludicolo,Dragapult Inteleon,2021-10-11,0.5,8
Suicune Ludicolo,Urshifu Inteleon,2021-10-11,1.0,3
Suicune Ludicolo,Leafeon Inteleon,2021-10-11,0.33,3
Suicune Ludicolo,Calyrex Inteleon,2021-10-11,0.33,6
Suicune Ludicolo,Sylveon,2021-10-11,0.4,5
Suicune Ludicolo,Shadow Rider Calyrex,2021-10-11,0.43,7
Suicune Ludicolo,Other,2021-10-11,0.5,2
Suicune Ludicolo,Corviknight,2021-10-11,0.0,1
Suicune Ludicolo,Weezing Inteleon,2021-10-11,0.0,1
Suicune Ludicolo,Vaporeon Inteleon,2021-10-11,0.0,2
Suicune Ludicolo,Decidueye Inteleon,2021-10-11,0.0,1
Suicune Ludicolo,Suicune Inteleon,2021-10-11,1.0,1
Suicune Ludicolo,Inteleon,2021-10-11,1.0,2
Suicune Ludicolo,Calyrex Alcremie,2021-10-11,0.0,1
Umbreon Urshifu,Victini,2021-10-11,0.4,5
Umbreon Urshifu,Rapid Strike Urshifu,2021-10-11,1.0,1
Umbreon Urshifu,Calyrex Inteleon,2021-10-11,0.5,10
Umbreon Urshifu,Leafeon Inteleon,2021-10-11,0.17,6
Umbreon Urshifu,Eternatus,2021-10-11,1.0,3
Umbreon Urshifu,Sylveon,2021-10-11,0.38,13
Umbreon Urshifu,Umbreon Urshifu,2021-10-11,0.5,56
Umbreon Urshifu,Sableye Inteleon,2021-10-11,0.0,2
Umbreon Urshifu,Inteleon,2021-10-11,0.25,4
Umbreon Urshifu,Zacian,2021-10-11,0.7,10
Umbreon Urshifu,Vaporeon Inteleon,2021-10-11,1.0,1
Umbreon Urshifu,Zacian Ludicolo,2021-10-11,1.0,1
Umbreon Urshifu,Shadow Rider Calyrex,2021-10-11,0.9,10
Umbreon Urshifu,Suicune Ludicolo,2021-10-11,0.33,12
Umbreon Urshifu,Vikavolt,2021-10-11,0.0,1
Umbreon Urshifu,Jolteon Inteleon,2021-10-11,0.5,16
Umbreon Urshifu,Dragapult Inteleon,2021-10-11,0.67,21
Umbreon Urshifu,Wailord,2021-10-11,1.0,1
Umbreon Urshifu,Dragapult,2021-10-11,1.0,1
Umbreon Urshifu,Urshifu Inteleon,2021-10-11,0.58,12
Umbreon Urshifu,Decidueye Inteleon,2021-10-11,0.5,4
Umbreon Urshifu,Urshifu Moltres,2021-10-11,1.0,2
Umbreon Urshifu,Donphan,2021-10-11,0.0,1
