Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
167,Cheech927,,9,3 - 5 - 0drop,46.67%,40.83%,Urshifu Inteleon,,cheech927
168,OutlawStarGaming,,9,3 - 8 - 0,42.00%,42.33%,Zacian,,outlawstargaming
169,Daniel4577,,9,3 - 4 - 0drop,40.00%,55.00%,Umbreon Urshifu,,daniel4577
170,Lullibar,,9,3 - 4 - 0drop,40.00%,54.00%,Mew Genesect,,lullibar
171,Christian Jaramillo,,9,3 - 8 - 0,39.00%,45.00%,Sableye Inteleon,,setokaiba1308
172,afranco23,,9,3 - 5 - 0drop,37.50%,46.90%,Mew Genesect,,afranco23
173,Blaksnak,,9,3 - 8 - 0,33.00%,45.53%,Duraludon,,blaksnak
174,Axel Sarmento,,9,3 - 0 - 0drop,,,Leafeon Inteleon,,axelmatheus
175,UltraNko,,9,3 - 0 - 0drop,,,Jolteon Inteleon,,ultranko
176,TadeusO,,8,2 - 2 - 2,34.72%,42.79%,Other,,tadeuso
177,TlovesS1995,,7,2 - 3 - 1,49.72%,46.38%,Weezing Inteleon,,tlovess1995
178,Jojitsu,,7,2 - 3 - 1,44.44%,46.46%,Obstagoon Inteleon,,jojitsu
179,OGShih,,7,2 - 3 - 1,44.44%,45.83%,Umbreon Urshifu,,ogshih
180,JuniorZ1996,,7,2 - 3 - 1,41.67%,41.67%,Other,,juniorz1996
181,nyarthotep,,7,2 - 3 - 1,38.89%,40.44%,Gardevoir,,nyarthotep
182,Koshira,,6,2 - 1 - 0drop,72.22%,59.26%,Mew Genesect,,koshira
183,tmez,,6,2 - 3 - 0drop,65.00%,44.86%,Jolteon Inteleon,,tmez
184,PokeMuca,,6,2 - 2 - 0drop,60.42%,60.15%,Umbreon Urshifu,,pokemuca
185,aierala,,6,2 - 3 - 0drop,58.33%,51.79%,Blissey,,aierala
186,MasterLeBui,,6,2 - 4 - 0,58.33%,50.00%,Jolteon Inteleon,,masterlebui
187,arukoto,,6,2 - 2 - 0drop,58.33%,49.13%,Eternatus,,arukoto
188,Lucas O,,6,2 - 4 - 0,58.33%,46.41%,Calyrex Inteleon,,aoldale
189,GhostReaper,,6,2 - 4 - 0,56.94%,51.51%,Umbreon Urshifu,,ghostreaper
190,Ynnojon,,6,2 - 4 - 0,56.94%,46.96%,Other,,ynnojon
191,Naruto Uzumaki,,6,2 - 4 - 0,55.56%,53.00%,Urshifu Cinccino,,chrollo
192,Alex Koch,,6,2 - 4 - 0,55.56%,49.77%,Other,,owllicks
193,Dynamite,,6,2 - 4 - 0,55.56%,43.94%,Mew Genesect,,dynamite
194,NotAetrna,,6,2 - 4 - 0,55.56%,43.94%,Umbreon Urshifu,,notaetrna
195,TCwhitedragon,,6,2 - 3 - 0drop,55.00%,50.50%,Duraludon,,tcwhitedragon
196,Caelah M,,6,2 - 2 - 0drop,54.17%,49.93%,Mew Genesect,,magicdedenne
